"","ORG_CODE","SEX","AGE","POP","abs_pop"
"154","P81022","MALE","60",-55,55
"155","P81022","MALE","61",-61,61
"156","P81022","MALE","62",-51,51
"157","P81022","MALE","63",-63,63
"158","P81022","MALE","64",-58,58
"159","P81022","MALE","65",-47,47
"160","P81022","MALE","66",-42,42
"161","P81022","MALE","67",-55,55
"162","P81022","MALE","68",-45,45
"163","P81022","MALE","69",-44,44
"164","P81022","MALE","7",-60,60
"165","P81022","MALE","70",-56,56
"166","P81022","MALE","71",-49,49
"167","P81022","MALE","72",-73,73
"168","P81022","MALE","73",-60,60
"169","P81022","MALE","74",-35,35
"170","P81022","MALE","75",-49,49
"171","P81022","MALE","76",-38,38
"172","P81022","MALE","77",-30,30
"173","P81022","MALE","78",-28,28
"174","P81022","MALE","79",-30,30
"175","P81022","MALE","8",-58,58
"176","P81022","MALE","80",-36,36
"177","P81022","MALE","81",-26,26
"178","P81022","MALE","82",-23,23
"179","P81022","MALE","83",-15,15
"180","P81022","MALE","84",-16,16
"181","P81022","MALE","85",-15,15
"182","P81022","MALE","86",-16,16
"183","P81022","MALE","87",-12,12
"184","P81022","MALE","88",-11,11
"185","P81022","MALE","89",-8,8
"186","P81022","MALE","9",-61,61
"187","P81022","MALE","90",-3,3
"188","P81022","MALE","91",-4,4
"189","P81022","MALE","92",-5,5
"190","P81022","MALE","93",-2,2
"191","P81022","MALE","94",0,0
"192","P81022","MALE","95+",-3,3
"193","P81051","MALE","0",-55,55
"194","P81051","MALE","1",-64,64
"195","P81051","MALE","10",-87,87
"196","P81051","MALE","11",-73,73
"197","P81051","MALE","12",-63,63
"198","P81051","MALE","13",-77,77
"199","P81051","MALE","14",-88,88
"200","P81051","MALE","15",-91,91
"201","P81051","MALE","16",-81,81
"202","P81051","MALE","17",-55,55
"203","P81051","MALE","18",-69,69
"204","P81051","MALE","19",-55,55
"205","P81051","MALE","2",-71,71
"206","P81051","MALE","20",-62,62
"207","P81051","MALE","21",-77,77
"208","P81051","MALE","22",-78,78
"209","P81051","MALE","23",-83,83
"210","P81051","MALE","24",-82,82
"211","P81051","MALE","25",-79,79
"212","P81051","MALE","26",-80,80
"213","P81051","MALE","27",-74,74
"214","P81051","MALE","28",-80,80
"215","P81051","MALE","29",-95,95
"216","P81051","MALE","3",-69,69
"217","P81051","MALE","30",-88,88
"218","P81051","MALE","31",-91,91
"219","P81051","MALE","32",-86,86
"220","P81051","MALE","33",-90,90
"221","P81051","MALE","34",-73,73
"222","P81051","MALE","35",-103,103
"223","P81051","MALE","36",-77,77
"224","P81051","MALE","37",-83,83
"225","P81051","MALE","38",-101,101
"226","P81051","MALE","39",-81,81
"227","P81051","MALE","4",-65,65
"228","P81051","MALE","40",-64,64
"229","P81051","MALE","41",-82,82
"230","P81051","MALE","42",-75,75
"231","P81051","MALE","43",-80,80
"232","P81051","MALE","44",-77,77
"233","P81051","MALE","45",-90,90
"234","P81051","MALE","46",-86,86
"235","P81051","MALE","47",-82,82
"236","P81051","MALE","48",-74,74
"237","P81051","MALE","49",-74,74
"238","P81051","MALE","5",-62,62
"239","P81051","MALE","50",-104,104
"240","P81051","MALE","51",-88,88
"241","P81051","MALE","52",-95,95
"242","P81051","MALE","53",-95,95
"243","P81051","MALE","54",-98,98
"244","P81051","MALE","55",-103,103
"245","P81051","MALE","56",-103,103
"246","P81051","MALE","57",-86,86
"247","P81051","MALE","58",-91,91
"248","P81051","MALE","59",-96,96
"249","P81051","MALE","6",-82,82
"250","P81051","MALE","60",-88,88
"251","P81051","MALE","61",-78,78
"252","P81051","MALE","62",-70,70
"253","P81051","MALE","63",-64,64
"254","P81051","MALE","64",-67,67
"255","P81051","MALE","65",-59,59
"256","P81051","MALE","66",-76,76
"257","P81051","MALE","67",-71,71
"258","P81051","MALE","68",-75,75
"259","P81051","MALE","69",-63,63
"260","P81051","MALE","7",-86,86
"261","P81051","MALE","70",-53,53
"262","P81051","MALE","71",-80,80
"263","P81051","MALE","72",-83,83
"264","P81051","MALE","73",-56,56
"265","P81051","MALE","74",-45,45
"266","P81051","MALE","75",-42,42
"267","P81051","MALE","76",-46,46
"268","P81051","MALE","77",-40,40
"269","P81051","MALE","78",-27,27
"270","P81051","MALE","79",-33,33
"271","P81051","MALE","8",-84,84
"272","P81051","MALE","80",-24,24
"273","P81051","MALE","81",-23,23
"274","P81051","MALE","82",-24,24
"275","P81051","MALE","83",-18,18
"276","P81051","MALE","84",-15,15
"277","P81051","MALE","85",-12,12
"278","P81051","MALE","86",-14,14
"279","P81051","MALE","87",-7,7
"280","P81051","MALE","88",-11,11
"281","P81051","MALE","89",-6,6
"282","P81051","MALE","9",-79,79
"283","P81051","MALE","90",-8,8
"284","P81051","MALE","91",-4,4
"285","P81051","MALE","92",-2,2
"286","P81051","MALE","93",-2,2
"287","P81051","MALE","94",-2,2
"288","P81051","MALE","95+",-6,6
"289","P81058","MALE","0",-51,51
"290","P81058","MALE","1",-56,56
"291","P81058","MALE","10",-65,65
"292","P81058","MALE","11",-64,64
"293","P81058","MALE","12",-68,68
"294","P81058","MALE","13",-49,49
"295","P81058","MALE","14",-53,53
"296","P81058","MALE","15",-61,61
"297","P81058","MALE","16",-44,44
"298","P81058","MALE","17",-56,56
"299","P81058","MALE","18",-55,55
"300","P81058","MALE","19",-52,52
"301","P81058","MALE","2",-47,47
"302","P81058","MALE","20",-53,53
"303","P81058","MALE","21",-50,50
"304","P81058","MALE","22",-34,34
"305","P81058","MALE","23",-50,50
"306","P81058","MALE","24",-48,48
"307","P81058","MALE","25",-50,50
"308","P81058","MALE","26",-49,49
"309","P81058","MALE","27",-54,54
"310","P81058","MALE","28",-47,47
"311","P81058","MALE","29",-69,69
"312","P81058","MALE","3",-56,56
"313","P81058","MALE","30",-54,54
"314","P81058","MALE","31",-46,46
"315","P81058","MALE","32",-61,61
"316","P81058","MALE","33",-49,49
"317","P81058","MALE","34",-64,64
"318","P81058","MALE","35",-54,54
"319","P81058","MALE","36",-72,72
"320","P81058","MALE","37",-49,49
"321","P81058","MALE","38",-60,60
"322","P81058","MALE","39",-61,61
"323","P81058","MALE","4",-54,54
"324","P81058","MALE","40",-58,58
"325","P81058","MALE","41",-59,59
"326","P81058","MALE","42",-53,53
"327","P81058","MALE","43",-56,56
"328","P81058","MALE","44",-80,80
"329","P81058","MALE","45",-66,66
"330","P81058","MALE","46",-69,69
"331","P81058","MALE","47",-78,78
"332","P81058","MALE","48",-68,68
"333","P81058","MALE","49",-71,71
"334","P81058","MALE","5",-72,72
"335","P81058","MALE","50",-67,67
"336","P81058","MALE","51",-63,63
"337","P81058","MALE","52",-57,57
"338","P81058","MALE","53",-66,66
"339","P81058","MALE","54",-74,74
"340","P81058","MALE","55",-58,58
"341","P81058","MALE","56",-52,52
"342","P81058","MALE","57",-69,69
"343","P81058","MALE","58",-55,55
"344","P81058","MALE","59",-68,68
"345","P81058","MALE","6",-68,68
"346","P81058","MALE","60",-62,62
"347","P81058","MALE","61",-51,51
"348","P81058","MALE","62",-51,51
"349","P81058","MALE","63",-55,55
"350","P81058","MALE","64",-52,52
"351","P81058","MALE","65",-42,42
"352","P81058","MALE","66",-41,41
"353","P81058","MALE","67",-37,37
"354","P81058","MALE","68",-48,48
"355","P81058","MALE","69",-45,45
"356","P81058","MALE","7",-43,43
"357","P81058","MALE","70",-38,38
"358","P81058","MALE","71",-44,44
"359","P81058","MALE","72",-54,54
"360","P81058","MALE","73",-41,41
"361","P81058","MALE","74",-28,28
"362","P81058","MALE","75",-44,44
"363","P81058","MALE","76",-31,31
"364","P81058","MALE","77",-34,34
"365","P81058","MALE","78",-24,24
"366","P81058","MALE","79",-25,25
"367","P81058","MALE","8",-70,70
"368","P81058","MALE","80",-20,20
"369","P81058","MALE","81",-19,19
"370","P81058","MALE","82",-22,22
"371","P81058","MALE","83",-16,16
"372","P81058","MALE","84",-17,17
"373","P81058","MALE","85",-11,11
"374","P81058","MALE","86",-15,15
"375","P81058","MALE","87",-10,10
"376","P81058","MALE","88",-9,9
"377","P81058","MALE","89",-9,9
"378","P81058","MALE","9",-51,51
"379","P81058","MALE","90",-6,6
"380","P81058","MALE","91",-4,4
"381","P81058","MALE","92",-6,6
"382","P81058","MALE","93",-4,4
"383","P81058","MALE","94",-2,2
"384","P81058","MALE","95+",-4,4
"385","P81061","MALE","0",-17,17
"386","P81061","MALE","1",-21,21
"387","P81061","MALE","10",-24,24
"388","P81061","MALE","11",-29,29
"389","P81061","MALE","12",-30,30
"390","P81061","MALE","13",-31,31
"391","P81061","MALE","14",-27,27
"392","P81061","MALE","15",-21,21
"393","P81061","MALE","16",-27,27
"394","P81061","MALE","17",-30,30
"395","P81061","MALE","18",-28,28
"396","P81061","MALE","19",-22,22
"397","P81061","MALE","2",-24,24
"398","P81061","MALE","20",-26,26
"399","P81061","MALE","21",-25,25
